t,y(t),y'(t)
0.0,1.0,0.0
0.1,0.9950,-0.0998
0.2,0.9801,-0.1987
0.3,0.9553,-0.2955
0.4,0.9211,-0.3894
0.5,0.8776,-0.4794
0.6,0.8253,-0.5646
0.7,0.7648,-0.6442
0.8,0.6967,-0.7174
0.9,0.6216,-0.7833
1.0,0.5403,-0.8415
1.1,0.4536,-0.8912
1.2,0.3624,-0.9320
1.3,0.2675,-0.9636
1.4,0.16997,-0.98545
1.5,0.0707,-0.9975
1.6,-0.0292,-0.9996
1.7,-0.1288,-0.9917
1.8,-0.2272,-0.9742
1.9,-0.3233,-0.9463
2.0,-0.4161,-0.9093
2.1,-0.5048,-0.8632
2.2,-0.5885,-0.8085
2.3,-0.6663,-0.7457
2.4,-0.7374,-0.6755
2.5,-0.8011,-0.5985
2.6,-0.8569,-0.5155
2.7,-0.9041,-0.4274
2.8,-0.9422,-0.3350
2.9,-0.9710,-0.2392
3.0,-0.9900,-0.1411

